PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PCT_INHIB_DD2
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of P. falciparum Dd2 growth.
RESULT_UNIT,,,,,,,,PERCENT
8622,85866539,20080870,CCCCCCCCC1=C(NC(=C(C1=O)I)C)C,Active,,,,77
8623,85866540,20080852,CCCCCCCCC1=C(NC(=C(C1=O)C#N)C)C,Active,,,,96
8624,85866541,44531218,CCCC1=CC(=C(C=C1OC)CC2C3=CC(=C(C=C3C(CN2C)C4=CC=CC=C4)Cl)O)OC.Cl,Active,,,,100
8625,85866542,44531220,CCCCCCCCC1=C(C(=O)C(=C(N1)C)Br)Br,Active,,,,95
8626,85866543,44531221,CC1=CC(=C(C=C1OC)CC2C3=CC(=C(C=C3CCN2C)Cl)O)OC.Cl,Active,,,,88
8627,85866544,44531223,CCCC1=CC(=C(C=C1OC)CC2C3=C(CCN2C)C(=CC=C3)O)OC.Cl,Active,,,,99
8628,85866545,44531225,C1=CC2=C(C=C1C(=N)N)C=C(N2)C3=CC4=C(O3)C=CC(=C4)C(=N)N.Cl,Active,,,,87
8629,85866546,44531226,CCCCCCCCC1=C(NC(=C(C1=O)Br)C)C.Br,Active,,,,92
8630,85866547,44531227,CC(=NC1=CC(=C(C=C1)Cl)Cl)N(C)C.Cl,Inactive,,,,0
8631,85866548,44531228,CN1CCC2=C(C1CC3=C(C=CC(=C3)OC)OC)C=CC(=C2O)Br.Cl,Active,,,,97
8632,85866549,44531230,C1=C(C=C(C=C1NC(=O)C(F)(F)F)[N+](=O)[O-])C2=CSC(=N2)N=C(N)N.Br,Active,,,,51
8633,85866550,44531232,C1=CC(=CC(=C1)NC(=O)C(F)(F)F)C2=CSC(=N2)N=C(N)N.Br,Inactive,,,,24
8634,85866551,44531233,CCCOC1=CC2=C(C=C1)C(=NCC2)/C=C/C=C/C.Br,Inactive,,,,40
8635,85866552,44531234,CC(C)NCC(COC1=C(C=CC(=C1)OC)C2=NC3=NC4=CC=CC=C4C=C3N2)O.Cl,Active,,,,96
8636,85866553,44531236,CC1=CC(=NC(=N1)NC2=CC=C(C=C2)Cl)N(CCCN3CCCCC3)CCO.Cl,Inactive,,,,18
8637,85866554,44531238,CC(C)C1=CC2=C(C=C1)S(=O)(=O)C3=C(C2=O)C=CC(=C3)C(=O)O,Active,,,,83
8638,85866555,44531239,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NC(=O)C=NN=C(N)N.C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NC(=O)C=NN=C(N)N.OS(=O)(=O)O,Inactive,,,,-2
8639,85866556,44531241,CC1=CC2=C(C=C1)OC3=C(C2=O)C=CC(=C3)C4=NNN=N4,Active,,,,96
8640,85866557,44531242,CCCOC1=C(C=C2C(=C1)CC(N=C2C=CC3=C(C=C(C=C3)Cl)Cl)C)OCCC.Cl,Active,,,,75
8641,85866558,44531244,CC1=C(NC2=CC(=C(C(=C2C1=O)OC)OC)OC)C3=CC=C(C=C3)O,Active,,,,94
8642,85866559,44531245,CCCCOC1=C(C=C2C(=C1)CCN=C2C=CC3=C(C=C(C=C3)Cl)Cl)OCC.Cl,Active,,,,95
8643,85866560,44531247,CCNS(=O)(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)[N+](=O)[O-],Active,,,,85
8644,85866561,44531248,C1CCC(CC1)CCCCN=C(C2=NC(=CC=C2)C(=NCCCCC3CCCCC3)N)N.Cl,Inactive,,,,19
8645,85866562,44531250,C1=CC=C(C=C1)CCCN=C(C2=NC(=CC=C2)C(=NCCCC3=CC=CC=C3)N)N.Cl,Inactive,,,,-1
8646,85866563,44531252,CN1CC(OC1=N)C2=CC(=C(C=C2)Cl)Cl.I,Inactive,,,,3
8647,85866564,44531254,CC(CN=C(C1=NC(=CC=C1)C(=NCC(C)OC2=CC=CC(=C2)C3CCCCC3)N)N)OC4=CC=CC(=C4)C5CCCCC5.Cl,Inactive,,,,31
8648,85866565,44531256,C1C(C1C2=CC=CC=C2)CN=C(C3=NC(=CC=C3)C(=NCC4CC4C5=CC=CC=C5)N)N,Inactive,,,,-2
8649,85866566,44531257,COC1=C(C=CC(=C1)CCN=C(/C=C/C2=CC=C(C=C2)Cl)N)Cl.Cl,Inactive,,,,16
8650,85866567,44531259,CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@@H](CCCNC1=NC=CC(=N1)C(F)(F)F)C(=O)NC2=NC=CS2)N(C=O)O,Active,,,,98
8651,85866568,44531260,C1=CC(=CC=C1CCN=C(C2=CC(=C(C=C2)Cl)Cl)N)Cl.Cl,Inactive,,,,42
8652,85866569,44531262,CCCCN(CCCC)CCCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Active,,,,96
8653,85866570,44531264,CCCCN(CCCC)CCCCNC1=C2C=CC=CC2=NC3=CC=CC=C31.Cl,Active,,,,100
8654,85866571,44531266,C1=C(C=C(C(=C1F)Cl)Cl)NC(=O)N=C(N)N,Active,,,,101
8655,85866572,44531267,C1=C(C=C(C(=C1Cl)Cl)Br)NC(=O)N=C(N)N,Active,,,,99
8656,85866573,44531268,C1=C(C=C(C(=C1Br)Cl)Br)NC(=O)N=C(N)N,Active,,,,83
8657,85866574,44531269,C1=C(C=C(C(=C1Cl)Cl)Cl)NC(=O)N=C(N)N,Active,,,,100
8658,85866575,44531270,C1=CC(=C(C=C1NC(=O)C=NN=C(N)N)Cl)Cl,Inactive,,,,0
8659,85866576,44531271,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC(=NC4=C3C=C(C=C4)OC)Cl)O,Active,,,,82
8660,85866577,23274644,C1=CC(=C(C=C1NC(=O)N=C(N)N)Cl)[N+](=O)[O-],Inactive,,,,12
8661,85866578,44531272,C1=CC(=C(C=C1NC(=O)N=C(N)N)C(F)(F)F)Cl,Inactive,,,,13
8662,85866579,44531273,CCS(=O)(=O)O.CC1=C(C=CC(=C1)NC(=O)N=C(N)N)Cl,Inactive,,,,15
8663,85866580,44531274,CC1(N=C(N=C(N1C2=CC=C(C=C2)OCC#C)N)N)C.Cl,Inactive,,,,-3
8664,85866581,44531276,C1=CC(=CC=C1NC(=O)C=NN=C(N)N)Cl.C1=CC(=CC=C1NC(=O)C=NN=C(N)N)Cl.OS(=O)(=O)O,Inactive,,,,2
8665,85866582,44531278,C1CN=C(N1)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C5=NCCN5.Cl,Active,,,,95
8666,85866583,44531279,CC1CN=C(N1)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)C5=NCC(N5)C.CS(=O)(=O)O,Active,,,,100
8667,85866584,44531280,COCCCN=C(C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=NCCCOC)N)N.Cl,Active,,,,99
8668,85866585,44531281,CN1CCN(CC1)CCNC2=C3C=C(C=CC3=NC4=C2C=CC(=C4)Cl)OC.Cl,Active,,,,99
8669,85866586,44531283,CCN(CC)CCNC1=NC(=NC(=C1)C)/N=C(\N)/NC2=CC=C(C=C2)Cl.Cl,Inactive,,,,0
8670,85866587,44531284,CCCN1CCN(CC1)CCCNC2=C3C=CC=CC3=NC4=CC=CC=C42.Cl,Inactive,,,,-1
8671,85866588,44531286,CN1CCN(CC1)CCCCNC2=C3C=CC=CC3=NC4=CC=CC=C42,Inactive,,,,-7
8672,85866589,44531287,CCOC(=O)N1CCN(CC1)CCCNC2=C3C=C(C=CC3=NC4=C2C=CC(=C4)Cl)OC,Active,,,,100
